City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
283,puerto colombia,10.9878,-74.9547,80.69,80,100,4.85,CO,2023-10-04 03:48:27
284,luau,-10.7073,22.2247,73.6,36,96,2.62,AO,2023-10-04 03:48:27
285,barguzin,53.6167,109.6167,41.4,88,98,5.99,RU,2023-10-04 03:48:27
286,estevan,49.1334,-102.9842,48.4,93,100,11.5,CA,2023-10-04 03:48:27
287,santa ana,33.7456,-117.8678,75.04,64,0,5.75,US,2023-10-04 03:48:27
288,prado,-17.3411,-39.2208,71.85,94,100,7.63,BR,2023-10-04 03:48:27
289,brookings,44.3114,-96.7984,58.1,100,100,8.05,US,2023-10-04 03:45:16
290,carrizal,10.3499,-66.9863,65.61,92,100,0.96,VE,2023-10-04 03:48:27
291,new norfolk,-42.7826,147.0587,52.72,96,100,2.71,AU,2023-10-04 03:44:44
292,santo antonio,-6.3106,-35.4789,71.87,75,8,6.46,BR,2023-10-04 03:48:27
293,ambon,-3.6954,128.1814,86.14,79,40,8.05,ID,2023-10-04 03:48:28
294,saldanha,-33.0117,17.9442,59.49,81,100,3.94,ZA,2023-10-04 03:48:28
295,pukekohe east,-37.2,174.95,60.31,49,0,7.45,NZ,2023-10-04 03:48:28
296,sao gabriel da cachoeira,-0.1303,-67.0892,78.62,63,98,1.25,BR,2023-10-04 03:48:28
297,deschutes river woods,43.9915,-121.3584,51.82,71,0,1.99,US,2023-10-04 03:48:28
298,mount isa,-20.7333,139.5,85.77,20,75,18.41,AU,2023-10-04 03:48:28
